name,mass_1,mass_2,total_mass,final_mass,luminosity_distance,redshift
GW150914,35.6,30.6,66.2,63.1,440,0.09
GW151012,23.2,13.6,36.8,35.6,1080,0.21
GW151226,13.7,7.7,21.4,20.5,450,0.09
GW170104,30.8,20,50.8,48.9,990,0.2
GW170608,11,7.6,18.6,17.8,320,0.07
GW170729,50.2,34,84.2,79.5,2840,0.49
GW170809,35,23.8,58.8,56.3,1030,0.2
GW170814,30.6,25.2,55.8,53.2,600,0.12
GW170818,35.4,26.7,62.1,59.4,1060,0.21
GW170823,39.5,29,68.5,65.4,1940,0.35
GW190408_181802,24.5,18.3,42.9,41,1580,0.3
GW190412,30,8.3,38.4,37.3,740,0.15
GW190413_052954,33.4,23.4,56.9,54.3,4100,0.66
GW190413_134308,45.4,30.9,76.1,72.8,5150,0.8
GW190421_213856,40.6,31.4,71.8,68.6,3150,0.53
GW190424_180648,39.5,31,70.7,67.1,2550,0.45
GW190503_185404,42.9,28.5,71.3,68.2,1520,0.29
GW190512_180714,23,12.5,35.6,34.2,1490,0.28
GW190513_205428,35.3,18.1,53.6,51.3,2160,0.39
GW190514_065416,36.9,27.5,64.2,61.6,4930,0.77
GW190517_055101,36.4,24.8,61.9,57.8,2110,0.38
GW190519_153544,64.5,39.9,104.2,98.7,2850,0.49
GW190521,91.4,66.8,157.9,150.3,4530,0.72
GW190521_074359,42.1,32.7,74.4,70.7,1280,0.25
GW190527_092055,36.2,22.8,58.5,55.9,3100,0.53
GW190602_175927,67.2,47.4,114.1,108.8,2990,0.51
GW190620_030421,55.4,35,90.1,85.4,3160,0.54
GW190630_185205,35,23.6,58.8,56.1,930,0.19
GW190701_203306,53.6,40.8,94.1,90,2140,0.38
GW190706_222641,64,38.5,101.6,96.3,5070,0.79
GW190707_093326,11.5,8.4,20,19.2,800,0.16
GW190708_232457,17.5,13.1,30.8,29.4,900,0.18
GW190719_215514,35.2,20.2,55.8,52.9,4610,0.73
GW190720_000836,13.3,7.8,21.3,20.3,810,0.16
GW190727_060333,37.2,28.8,65.8,62.6,3600,0.6
GW190728_064510,12.2,8.1,20.5,19.5,890,0.18
GW190731_140936,39.3,28,67.1,63.9,3970,0.65
GW190803_022701,36.1,26.7,62.7,59.9,3690,0.61
GW190814,23.2,2.59,25.8,25.6,240,0.05
GW190828_063405,31.8,25.9,57.5,54.5,2220,0.4
GW190828_065509,23.8,10.2,34.1,32.9,1660,0.31
GW190909_114149,43.2,27.6,71.2,68.3,4770,0.75
GW190910_112807,43.5,35.1,78.7,75,1570,0.29
GW190915_235702,34.9,24.4,59.5,56.8,1700,0.32
GW190924_021846,8.8,5,13.9,13.3,570,0.12
GW190929_012149,64.7,25.7,90.6,87.5,3680,0.61
GW190930_133541,12.3,7.8,20.3,19.3,780,0.16
